MYYYY_generation,price_per_sq_m,price_direction,date_of_data_generation,id,isExclusiveness,isNew,livingArea,price,num_rooms.x,zipCode,deposit_rate,lagged_CPI,volatility_value,City,num_rooms_categorical,nr_weeks
Jun-22,8021.390374,Decreased,26/06/2022,184901363,TRUE,FALSE,65.45,525000,3,75018,-0.5,5.2,28.76,Paris,medium,1
Jun-22,10175.67568,Stayed the same,26/06/2022,186563919,TRUE,FALSE,37,376500,2,75018,-0.5,5.2,28.76,Paris,small,1
Jun-22,10000,Stayed the same,26/06/2022,185842717,FALSE,FALSE,57,570000,3,75018,-0.5,5.2,28.76,Paris,medium,1
Jun-22,13846.15385,Decreased,26/06/2022,185953455,TRUE,FALSE,13,180000,1,75011,-0.5,5.2,28.76,Paris,small,1
Jun-22,8714.285714,Stayed the same,26/06/2022,186801735,TRUE,FALSE,35,305000,2,75019,-0.5,5.2,28.76,Paris,small,1
Jun-22,6097.560976,Stayed the same,26/06/2022,186951623,TRUE,FALSE,82,500000,4,75019,-0.5,5.2,28.76,Paris,medium,1
Jun-22,10232.13195,Decreased,26/06/2022,187487409,TRUE,FALSE,65.48,670000,3,75019,-0.5,5.2,28.76,Paris,medium,1
Jun-22,8910.714286,Stayed the same,26/06/2022,187596847,FALSE,FALSE,56,499000,2,75018,-0.5,5.2,28.76,Paris,small,1
Jun-22,11816.36727,Stayed the same,26/06/2022,187736781,FALSE,FALSE,50.1,592000,2,75011,-0.5,5.2,28.76,Paris,small,1
Jun-22,8777.777778,Decreased,26/06/2022,185239019,TRUE,FALSE,90,790000,4,75019,-0.5,5.2,28.76,Paris,medium,1
Jun-22,6785.714286,Stayed the same,26/06/2022,185209973,TRUE,FALSE,84,570000,2,75019,-0.5,5.2,28.76,Paris,small,1
Jun-22,12608.69565,Decreased,26/06/2022,185419131,TRUE,FALSE,23,290000,1,75017,-0.5,5.2,28.76,Paris,small,1
Jun-22,11065.57377,Stayed the same,26/06/2022,187480485,FALSE,FALSE,61,675000,3,75010,-0.5,5.2,28.76,Paris,medium,1
Jun-22,10409.83607,Stayed the same,26/06/2022,187764681,FALSE,FALSE,61,635000,3,75013,-0.5,5.2,28.76,Paris,medium,1
Jun-22,9465.517241,Stayed the same,26/06/2022,186665295,TRUE,FALSE,58,549000,2,75019,-0.5,5.2,28.76,Paris,small,1
Jun-22,10941.17647,Stayed the same,26/06/2022,186665291,TRUE,FALSE,34,372000,1,75015,-0.5,5.2,28.76,Paris,small,1
Jun-22,10231.66023,Stayed the same,26/06/2022,187943391,TRUE,FALSE,51.8,530000,2,75018,-0.5,5.2,28.76,Paris,small,1
Jun-22,4679.487179,Stayed the same,26/06/2022,187885759,FALSE,FALSE,78,365000,4,13007,-0.5,5.2,28.76,Marseille,medium,1
Jun-22,5140.84507,Stayed the same,26/06/2022,187323387,TRUE,FALSE,71,365000,3,13007,-0.5,5.2,28.76,Marseille,medium,1
Jun-22,8622.595622,Stayed the same,26/06/2022,186799075,TRUE,FALSE,90.46,780000,4,13007,-0.5,5.2,28.76,Marseille,medium,1
Jun-22,6250,Stayed the same,26/06/2022,182868575,TRUE,FALSE,36,225000,2,13007,-0.5,5.2,28.76,Marseille,small,1
Jun-22,4580.645161,Stayed the same,26/06/2022,187615909,TRUE,FALSE,62,284000,2,13007,-0.5,5.2,28.76,Marseille,small,1
Jun-22,4349.388929,Decreased,26/06/2022,183178981,FALSE,FALSE,111.28,484000,4,13007,-0.5,5.2,28.76,Marseille,medium,1
Jun-22,3658.536585,Decreased,26/06/2022,182207629,FALSE,FALSE,41,150000,2,13007,-0.5,5.2,28.76,Marseille,small,1
Jun-22,6633.499171,Stayed the same,26/06/2022,184208063,TRUE,FALSE,18.09,120000,1,13007,-0.5,5.2,28.76,Marseille,small,1
Jun-22,4593.05835,Decreased,26/06/2022,184864915,FALSE,FALSE,99.4,456550,4,13007,-0.5,5.2,28.76,Marseille,medium,1
Jun-22,8737.5,Stayed the same,26/06/2022,187597405,FALSE,FALSE,80,699000,4,13007,-0.5,5.2,28.76,Marseille,medium,1
Jun-22,4674.862504,Stayed the same,26/06/2022,187332329,TRUE,FALSE,61.82,289000,3,13007,-0.5,5.2,28.76,Marseille,medium,1
Jun-22,5557.099194,Decreased,26/06/2022,185589103,TRUE,FALSE,71.98,400000,3,69007,-0.5,5.2,28.76,Lyon,medium,1
Jun-22,4969.650986,Stayed the same,26/06/2022,185797303,FALSE,FALSE,92.26,458500,4,69007,-0.5,5.2,28.76,Lyon,medium,1
Jun-22,3170.731707,Stayed the same,26/06/2022,185888413,TRUE,FALSE,123,390000,5,69009,-0.5,5.2,28.76,Lyon,large,1
Jun-22,5347.826087,Stayed the same,26/06/2022,186041765,TRUE,FALSE,69,369000,3,69007,-0.5,5.2,28.76,Lyon,medium,1
Jun-22,4349.81685,Stayed the same,26/06/2022,187274161,TRUE,FALSE,65.52,285000,3,69310,-0.5,5.2,28.76,Lyon,medium,1
Jun-22,4452.054795,Decreased,26/06/2022,185909521,TRUE,FALSE,73,325000,3,69007,-0.5,5.2,28.76,Lyon,medium,1
Jun-22,5605.633803,Stayed the same,26/06/2022,187467321,TRUE,FALSE,71,398000,3,69001,-0.5,5.2,28.76,Lyon,medium,1
Jun-22,5000,Stayed the same,26/06/2022,187954899,TRUE,FALSE,42,210000,2,69100,-0.5,5.2,28.76,Lyon,small,1
Jun-22,5330.097087,Decreased,26/06/2022,186175563,TRUE,FALSE,103,549000,4,69007,-0.5,5.2,28.76,Lyon,medium,1
Jun-22,5230.125523,Decreased,26/06/2022,177599357,TRUE,FALSE,71.7,375000,3,69003,-0.5,5.2,28.76,Lyon,medium,1
Jun-22,4891.717325,Decreased,26/06/2022,181906313,FALSE,FALSE,105.28,515000,4,69003,-0.5,5.2,28.76,Lyon,medium,1
Jun-22,3866.666667,Decreased,26/06/2022,184505103,TRUE,FALSE,37.5,145000,2,69760,-0.5,5.2,28.76,Lyon,small,1
Jun-22,5314.009662,Decreased,26/06/2022,181779093,TRUE,FALSE,93.15,495000,4,69002,-0.5,5.2,28.76,Lyon,medium,1
Jun-22,2293.814433,Stayed the same,26/06/2022,186631993,TRUE,FALSE,77.6,178000,3,69100,-0.5,5.2,28.76,Lyon,medium,1
Jun-22,4358.4988,Decreased,26/06/2022,185361141,TRUE,FALSE,91.66,399500,3,69003,-0.5,5.2,28.76,Lyon,medium,1
Jun-22,5588.235294,Stayed the same,26/06/2022,186884043,TRUE,FALSE,34,190000,2,31120,-0.5,5.2,28.76,Toulouse,small,1
Jun-22,5375,Stayed the same,26/06/2022,186884045,TRUE,FALSE,40,215000,2,31120,-0.5,5.2,28.76,Toulouse,small,1
Jun-22,3085.714286,Stayed the same,26/06/2022,185075561,TRUE,FALSE,35,108000,1,31200,-0.5,5.2,28.76,Toulouse,small,1
Jun-22,2907.692308,Stayed the same,26/06/2022,187653239,FALSE,FALSE,65,189000,3,31200,-0.5,5.2,28.76,Toulouse,medium,1
Jun-22,3473.684211,Decreased,26/06/2022,186263661,TRUE,FALSE,19,66000,1,31400,-0.5,5.2,28.76,Toulouse,small,1
Jun-22,4143.726456,Stayed the same,26/06/2022,186305933,TRUE,FALSE,34.51,143000,2,31400,-0.5,5.2,28.76,Toulouse,small,1
Jun-22,4200,Decreased,26/06/2022,185396419,FALSE,TRUE,95,399000,4,31500,-0.5,5.2,28.76,Toulouse,medium,1
Jun-22,3656.25,Stayed the same,26/06/2022,186683985,FALSE,FALSE,64,234000,3,31500,-0.5,5.2,28.76,Toulouse,medium,1
Jun-22,2833.243389,Stayed the same,26/06/2022,187313289,TRUE,FALSE,37.06,105000,2,31100,-0.5,5.2,28.76,Toulouse,small,1
