Company,TypeName,Inches,Gpu,Touchscreen,Ips,Screen Resolution,X_res,Y_res,CPU Name,CPU Freq (GHz),RAM (GB),HDD,SSD,Flash Storage,OS,Weight (kg),Price
Apple,Ultrabook,13.3,Intel,0,1,2560x1600,2560,1600,Intel Core i5,2.3,8,0,128,0,Mac,1.37,785.1655152
Apple,Ultrabook,13.3,Intel,0,0,1440x900,1440,900,Intel Core i5,1.8,8,0,0,128,Mac,1.34,526.8507552
HP,Notebook,15.6,Intel,0,0,1920x1080,1920,1080,Intel Core i5,2.5,8,0,256,0,No OS,1.86,336.996
Apple,Ultrabook,15.4,AMD,0,1,2880x1800,2880,1800,Intel Core i7,2.7,16,0,512,0,Mac,1.83,1487.1486959999995
Apple,Ultrabook,13.3,Intel,0,1,2560x1600,2560,1600,Intel Core i5,3.1,8,0,256,0,Mac,1.37,1057.053888
Acer,Notebook,15.6,AMD,0,0,1366x768,1366,768,AMD A-Series,3.0,4,500,0,0,Windows 10,2.1,234.432
Apple,Ultrabook,15.4,Intel,0,1,2880x1800,2880,1800,Intel Core i7,2.2,16,0,0,256,Mac X,2.04,1254.1936176
Apple,Ultrabook,13.3,Intel,0,0,1440x900,1440,900,Intel Core i5,1.8,8,0,0,256,Mac,1.34,679.0908959999999
Asus,Ultrabook,14.0,Nvidia,0,0,1920x1080,1920,1080,Intel Core i7,1.8,16,0,512,0,Windows 10,1.3,876.1895999999998
Acer,Ultrabook,14.0,Intel,0,1,1920x1080,1920,1080,Intel Core i5,1.6,8,0,256,0,Windows 10,1.6,451.2816
HP,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Core i5,2.5,4,500,0,0,No OS,1.86,230.856912
HP,Notebook,15.6,Intel,0,0,1920x1080,1920,1080,Intel Core i3,2.0,4,500,0,0,No OS,1.86,202.1917392
Apple,Ultrabook,15.4,AMD,0,1,2880x1800,2880,1800,Intel Core i7,2.8,16,0,256,0,Mac,1.83,1430.0176175999998
Dell,Notebook,15.6,AMD,0,0,1920x1080,1920,1080,Intel Core i3,2.0,4,0,256,0,Windows 10,2.2,292.395312
Apple,Ultrabook,12.0,Intel,0,1,2304x1440,2304,1440,Intel Core M,1.2,8,0,256,0,Mac,0.92,739.867392
Apple,Ultrabook,13.3,Intel,0,1,2560x1600,2560,1600,Intel Core i5,2.3,8,0,256,0,Mac,1.37,889.9917839999999
Dell,Notebook,15.6,AMD,0,0,1920x1080,1920,1080,Intel Core i7,2.7,8,0,256,0,Windows 10,2.2,436.6296
Apple,Ultrabook,15.4,AMD,0,1,2880x1800,2880,1800,Intel Core i7,2.9,16,0,512,0,Mac,1.83,1675.0166399999998
Lenovo,Notebook,15.6,Nvidia,0,0,1920x1080,1920,1080,Intel Core i3,2.4,8,1000,0,0,No OS,2.2,292.45392
Dell,Ultrabook,13.3,Intel,1,1,1920x1080,1920,1080,Intel Core i5,1.6,8,0,128,0,Windows 10,1.22,573.77232
Asus,Netbook,11.6,Intel,0,0,1366x768,1366,768,Intel Atom,1.44,2,0,0,32,Windows 10,0.98,112.468752
Lenovo,Gaming,15.6,Nvidia,0,1,1920x1080,1920,1080,Intel Core i5,2.5,8,1000,128,0,Windows 10,2.5,585.49392
HP,Notebook,15.6,AMD,0,0,1366x768,1366,768,AMD E-Series,1.5,4,500,0,0,No OS,1.86,151.20864
Dell,2 in 1 Convertible,13.3,Intel,1,0,1920x1080,1920,1080,Intel Core i5,1.6,8,0,256,0,Windows 10,1.62,479.99952
HP,Ultrabook,15.6,Intel,0,0,1920x1080,1920,1080,Intel Core i7,1.8,8,0,256,0,Windows 10,1.91,386.22672
Dell,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Core i3,2.0,4,1000,0,0,Windows 10,2.3,245.3565312
Apple,Ultrabook,13.3,Intel,0,0,1440x900,1440,900,Intel Core i5,1.6,8,0,0,128,Mac X,1.35,644.10192
Dell,Notebook,15.6,AMD,0,0,1920x1080,1920,1080,Intel Core i5,1.6,8,0,256,0,Windows 10,2.2,468.864
Dell,Ultrabook,15.6,Intel,0,0,1920x1080,1920,1080,Intel Core i7,1.9,8,0,512,0,Windows 10,1.88,760.73184
HP,Notebook,17.3,Nvidia,0,0,1920x1080,1920,1080,Intel Core i5,1.6,8,1000,0,0,Windows 10,2.5,525.1276799999999
Chuwi,Notebook,15.6,Intel,0,0,1920x1080,1920,1080,Intel Atom,1.44,4,0,0,64,Windows 10,1.89,143.5837392
Asus,Notebook,14.0,AMD,0,0,1366x768,1366,768,AMD E-Series,1.5,2,0,0,32,Windows 10,1.65,116.62991999999998
HP,Notebook,17.3,AMD,0,0,1920x1080,1920,1080,AMD A-Series,2.5,4,500,0,0,Windows 10,2.71,257.28912
Dell,Ultrabook,13.3,Intel,1,0,3200x1800,3200,1800,Intel Core i7,1.8,16,0,512,0,Windows 10,1.2,1095.38352
Apple,Ultrabook,13.3,Intel,0,0,1440x900,1440,900,Intel Core i5,1.6,8,0,0,256,Mac X,1.35,584.90784
Lenovo,Notebook,14.0,Intel,0,0,1366x768,1366,768,Intel Celeron Dual,1.1,4,0,0,64,Windows 10,1.44,145.93391999999997
Acer,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Core i3,2.7,4,1000,0,0,Linux,2.1,215.09136
Dell,Notebook,17.3,AMD,0,1,1920x1080,1920,1080,Intel Core i5,1.6,8,1000,128,0,Windows 10,2.8,573.77232
HP,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Core i5,2.5,4,1000,0,0,Windows 10,1.86,286.4114352
HP,Notebook,15.6,Nvidia,0,0,1920x1080,1920,1080,Intel Core i5,1.6,8,0,256,0,Windows 10,2.1,515.16432
Asus,Notebook,15.6,Intel,0,0,1920x1080,1920,1080,Intel Core i3,2.0,4,1000,0,0,Linux,2.0,227.98512
Dell,Gaming,15.6,Nvidia,0,1,1920x1080,1920,1080,Intel Core i7,2.8,16,1000,256,0,Windows 10,2.65,878.53392
Asus,Notebook,15.6,Nvidia,0,0,1366x768,1366,768,Intel Core i5,2.5,8,1000,0,0,Linux,2.3,306.5139792
Acer,Notebook,15.6,Intel,0,1,1920x1080,1920,1080,Intel Core i5,1.6,4,0,256,0,Windows 10,2.2,399.70656
Dell,2 in 1 Convertible,17.3,Nvidia,1,0,1920x1080,1920,1080,Intel Core i5,1.6,12,1000,0,0,Windows 10,2.77,585.49392
Apple,Ultrabook,13.3,Intel,0,1,2560x1600,2560,1600,Intel Core i5,2.0,8,0,256,0,Mac,1.37,831.6475199999999
Lenovo,Notebook,15.6,Intel,0,0,1366x768,1366,768,Intel Core i3,2.0,4,0,128,0,No OS,2.2,216.26352
Asus,Gaming,17.3,AMD,0,0,1920x1080,1920,1080,AMD Processor,3.0,8,1000,256,0,Windows 10,3.2,761.31792
Dell,Notebook,15.6,AMD,0,0,1920x1080,1920,1080,Intel Core i5,2.5,4,0,256,0,Windows 10,2.3,374.50512
Asus,Notebook,17.3,Nvidia,0,0,1366x768,1366,768,Intel Pentium Quad,1.1,4,1000,0,0,Windows 10,2.8,273.11328
Lenovo,2 in 1 Convertible,10.1,Intel,1,1,1920x1200,1920,1200,Intel Atom,1.44,4,0,0,64,Android,0.69,186.95952
